"Date","Excel Time","CT Enable (2)","CT Enable (3)","CT Enable (4)","CT Enable (5)","CT Enable (6)","CT Enable (7)","CT Enable (8)","CT Enable (9)","CT Enable"
"7/2/2018 06:53:44.560 PM PDT","43283.787321296295","","","","","1","","","",""
"7/2/2018 06:53:44.570 PM PDT","43283.78732141203","","","","","","","","1",""
"7/2/2018 06:53:45.010 PM PDT","43283.78732650463","","","","","","","","","1"
"7/2/2018 06:53:45.050 PM PDT","43283.78732696759","1","","","","","","","",""
"7/2/2018 06:53:45.110 PM PDT","43283.78732766204","","","1","","","","","",""
"7/2/2018 06:53:45.150 PM PDT","43283.787328125","","","","1","","","","",""
"7/2/2018 06:53:50.470 PM PDT","43283.78738969908","","","","","","1","","",""
"7/2/2018 06:53:50.480 PM PDT","43283.78738981481","","","","","","","1","",""
"7/2/2018 06:53:51.020 PM PDT","43283.787396064814","","1","","","","","","",""
"7/2/2018 06:58:58.030 PM PDT","43283.790949421294","","","","","0","0","","",""
"7/2/2018 06:58:58.040 PM PDT","43283.79094953704","","","","","","","0","0",""
"7/2/2018 06:58:59.030 PM PDT","43283.79096099537","","","","","","","","","0"
"7/2/2018 06:58:59.060 PM PDT","43283.79096134259","0","","","","","","","",""
"7/2/2018 06:58:59.100 PM PDT","43283.79096180556","","0","","","","","","",""
"7/2/2018 06:58:59.130 PM PDT","43283.79096215278","","","0","","","","","",""
"7/2/2018 06:58:59.170 PM PDT","43283.79096261574","","","","0","","","","",""
"7/2/2018 09:24:20.280 PM PDT","43283.89190138889","","","","","1","","","","1"
"7/2/2018 09:24:20.300 PM PDT","43283.89190162037","","","","","","","","1",""
"7/2/2018 09:24:20.320 PM PDT","43283.89190185185","1","","","","","","","",""
"7/2/2018 09:24:20.390 PM PDT","43283.89190266204","","","1","","","","","",""
"7/2/2018 09:24:20.430 PM PDT","43283.891903125","","","","1","","","","",""
"7/2/2018 09:24:27.010 PM PDT","43283.89197928241","","","","","","1","1","",""
"7/2/2018 09:24:27.060 PM PDT","43283.89197986111","","1","","","","","","",""
"7/3/2018 05:42:53.010 AM PDT","43284.238113541665","0","","","","","","","",""
"7/3/2018 05:42:53.040 AM PDT","43284.23811388889","","","","","0","0","","",""
"7/3/2018 05:42:53.050 AM PDT","43284.238114004635","","","","","","","0","0",""
"7/3/2018 05:42:53.060 AM PDT","43284.238114120366","","0","","","","","","",""
"7/3/2018 05:42:53.090 AM PDT","43284.23811446759","","","0","","","","","",""
"7/3/2018 05:42:53.130 AM PDT","43284.23811493056","","","","0","","","","",""
"7/3/2018 05:42:53.430 AM PDT","43284.238118402776","","","","","","","","","0"
"7/3/2018 05:50:45.770 AM PDT","43284.24358530092","","","","","","","","1",""
"7/3/2018 05:50:45.800 AM PDT","43284.243585648146","","","","","","","","","1"
"7/3/2018 05:50:45.840 AM PDT","43284.243586111115","1","","","","","","","",""
"7/3/2018 05:50:45.850 AM PDT","43284.24358622685","","","","","1","","","",""
"7/3/2018 05:50:45.910 AM PDT","43284.24358692129","","","1","","","","","",""
